대단원,중단원,문제,①,②,③,④,⑤,정답,문항 형식,Main/Sub,동아,미래엔,비상,지학사,천재,출제 수준,선지 개수,학습 개념 해설
과학의 기초,시간과 공간,"자연 세계에서 일어나는 현상은 ( ㉠ )와/과 ( ㉡ )의 규모(scale)로 설명할 수 있다.
㉠과 ㉡으로 적절한 것은?","㉠ 원인, ㉡ 결과","㉠ 거리, ㉡ 위치","㉠ 시간, ㉡ 공간","㉠ 힘, ㉡ 가속도",,③,단답형,MAIN,FALSE,TRUE,TRUE,TRUE,TRUE,개념 호출,4,자연 세계에서 일어나는 현상은 시간과 공간의 규모(scale)로 설명할 수 있다.
과학의 기초,시간과 공간,다음 중 자연 세계에서 일어나는 현상에 대한 설명으로 적절하지 않은 것은?,자연 현상을 관찰 및 측정하여 대상의 특성을 이해할 수 있다.,측정한 값을 수치화해도 측정값 사이 관계를 설명할 수 없다.,자연 세계는 시간과 공간의 규모로 설명할 수 있다.,시간과 공간에 대한 정보는 과학에서 매우 중요하다.,,②,서술형,MAIN,FALSE,TRUE,TRUE,TRUE,TRUE,개념 적용,4,자연 세계에서 일어나는 현상은 시간과 공간의 규모(scale)로 설명할 수 있다.
과학의 기초,시간과 공간,"자연은 다양한 ( ㉠ )와/과 ( ㉡ ) 규모에서 발생하는 수많은 현상으로 이루어져 있다.
㉠과 ㉡으로 적절한 것은?","㉠ 속도, ㉡ 방향","㉠ 시간, ㉠ 공간","㉠ 기능, ㉡ 구조","㉠ 원인, ㉡ 결과",,②,단답형,MAIN,FALSE,TRUE,TRUE,TRUE,TRUE,개념 변형,4,자연 세계에서 일어나는 현상은 시간과 공간의 규모(scale)로 설명할 수 있다.
과학의 기초,시간과 공간,자연 현상에서 규칙성은 시간과 공간으로 설명할 수 있다. (O / X),O,X,,,,①,OX형,MAIN,FALSE,TRUE,TRUE,TRUE,TRUE,개념 변형,2,자연 세계에서 일어나는 현상은 시간과 공간의 규모(scale)로 설명할 수 있다.
과학의 기초,시간과 공간,"규모(scale)는 자연 현상을 설명하기 위해 필요한 ( ㉠ )와/과 ( ㉡ )의 범위를 의미한다.
㉠과 ㉡으로 적절한 것은?","㉠ 원인, ㉡ 결과","㉠ 거리, ㉡ 위치","㉠ 기능, ㉡ 구조","㉠ 시간, ㉡ 공간",,④,단답형,SUB,FALSE,FALSE,FALSE,TRUE,TRUE,개념 호출,4,"규모(scale)는 자연 현상을 설명하기 위해 필요한 시간과 공간, 즉 시공간의 범위를 의미한다."
과학의 기초,시간과 공간,규모(scale)는 자연현상을 설명하기 위해 필요한 시공간의 범위를 의미한다. (O / X),O,X,,,,①,OX형,SUB,FALSE,FALSE,FALSE,TRUE,TRUE,개념 호출,2,"규모(scale)는 자연 현상을 설명하기 위해 필요한 시간과 공간, 즉 시공간의 범위를 의미한다."
과학의 기초,시간과 공간,"원자가 진동하는 짧은 시간부터 우주의 나이에 해당하는 긴 시간까지 다양한 시간에서 어떤 자연 현상의 ( ㉠ ) 범위를 규모라고 한다.
㉠으로 적절한 것은?",형태,크기,방향,속도,,②,단답형,SUB,FALSE,FALSE,FALSE,FALSE,TRUE,개념 변형,4,규모(scale)는 어떤 대상의 시간과 공간적 크기를 가늠할 수 있는 지표이다.
과학의 기초,시간과 공간,"규모(scale)는 어떤 대상의 ( ㉠ )과 ( ㉡ )의 크기를 가늠할 수 있는 지표이다.
㉠과 ㉡으로 적절한 것은?","㉠ 기능, ㉡ 구조","㉠ 원인, ㉡ 결과","㉠ 시간, ㉡ 공간","㉠ 힘, ㉡ 가속도",,③,단답형,SUB,FALSE,FALSE,FALSE,FALSE,TRUE,개념 호출,4,규모(scale)는 어떤 대상의 시간과 공간적 크기를 가늠할 수 있는 지표이다.
과학의 기초,시간과 공간,주변에서 일어나는 여러 가지 자연 현상을 탐구하면 변화의 규칙성을 찾을 수 있다. (O / X),O,X,,,,①,OX형,SUB,FALSE,FALSE,FALSE,TRUE,TRUE,개념 변형,2,"자연에는 산이나 행성 같이 사물이 존재하는 공간이 있고, 해가 지고 뜨는 등 시간이 흐르고 있다."
과학의 기초,시간과 공간,자연에는 사물이 존재하는 공간이 있고 시간이 흐르고 있다. (O / X),O,X,,,,①,OX형,SUB,FALSE,FALSE,FALSE,TRUE,TRUE,개념 호출,2,"자연에는 산이나 행성 같이 사물이 존재하는 공간이 있고, 해가 지고 뜨는 등 시간이 흐르고 있다."
